task_id,model_id,label,category,task_prefix,text,response,tool_call,entity_diff
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_curtains-2","gemini-2.0-flash","Good","cover","home7_dk_cover_curtain_cover_curtain","Open the living room curtains","OK","{'tool_name': 'HassTurnOn', 'tool_args': {'device_class': ['curtain'], 'domain': ['cover'], 'area': 'Living Room'}}","{}"
"home7_dk_cover_curtain_cover_curtain-open_the_smart_curtain-3","gemini-2.0-flash","Good","cover","home7_dk_cover_curtain_cover_curtain","Open the smart curtain","OK. I've opened the Smart Curtain.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain'}}","{}"
"home1_us_lock_smart_lock-unlock_the_entry_lock-1","gemini-2.0-flash","Bad","lock","home1_us_lock_smart_lock","Unlock the entry lock","OK. I've unlocked the Smart Lock.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}","{'lock.smart_lock': {'expected': {'state': 'unlocked'}, 'got': {'state': 'locked'}}}"
"home1_us_lock_smart_lock-lock_the_entry_lock-2","gemini-2.0-flash","Good","lock","home1_us_lock_smart_lock","Lock the entry lock","OK. I've locked the Smart Lock in the Entry.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'area': 'Entry', 'domain': ['lock']}}","{}"
"home1_us_vacuum_vacuum-start_roborock_downstairs_vacuum-1","gemini-2.0-flash","Good","vacuum","home1_us_vacuum_vacuum","Start Roborock Downstairs vacuum","OK, I've started Roborock Downstairs.","{'tool_name': 'HassVacuumStart', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}","{}"
"home1_us_vacuum_vacuum-return_roborock_downstairs_to_base-0","gemini-2.0-flash","Good","vacuum","home1_us_vacuum_vacuum","Return Roborock Downstairs to base","OK. I've sent Roborock Downstairs back to base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}","{}"
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks-0","gemini-2.0-flash","Good","todo","dom1_pl_todo_todo","Add history homework to my personal tasks","OK. I've added history homework to Personal Tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Personal Tasks', 'item': 'history homework'}}","{}"
"home2_ru_valve_water_valve-close_the_irrigation_valve-0","gemini-2.0-flash","Good","valve","home2_ru_valve_water_valve","close the irrigation valve","OK. I've closed the irrigation valve.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['valve'], 'name': 'Irrigation Valve'}}","{}"
"home7_dk_cover_curtain_cover_curtain-set_the_smart_curtain_to_50-0","gemini-2.0-flash","Good","cover","home7_dk_cover_curtain_cover_curtain","Set the smart curtain to 50%","OK.","{'tool_name': 'HassSetPosition', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain', 'position': 50}}","{}"
"home7_dk_media_player_media_player-pause_outdoor_speakers-3","gemini-2.0-flash","Good","media-player","home7_dk_media_player_media_player","Pause Outdoor Speakers","OK. I've paused the Outdoor Speakers.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}","{}"
