task_id,model_id,label,category,task_prefix,text,response,tool_call,entity_diff
"dom1_pl_lights-kitchen_light_off","gemma3-4b","Good","light","dom1_pl_lights","Kitchen light off","Okay, the kitchen light is now off.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Kitchen', 'domain': ['light']}}","{}"
"dom1_pl_lights-please_turn_on_the_kitchen_light","gemma3-4b","Bad","light","dom1_pl_lights","Please turn on the kitchen light","Okay, the kitchen light is now on.","{'tool_name': 'HassLightSet', 'tool_args': {'area': 'Kitchen', 'brightness': '100', 'domain': ['light'], 'name': 'Kitchen Light'}}","{'light.kitchen_light': {'expected': {'brightness': 0}, 'got': {'brightness': 255}}}"
"dom1_pl_todo-add_apples_to_my_trader_joe_s_list","gemma3-4b","Good","todo","dom1_pl_todo","add apples to my trader joe's list","Okay, I've added apples to your Trader Joe's list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe's'}}","{}"
"dom1_pl_todo-add_clean_the_kitchen_to_my_todo_list","gemma3-4b","Good","todo","dom1_pl_todo","Add clean the kitchen to my todo list","Okay, I’ve added “clean the kitchen” to your Personal Tasks todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo-add_history_homework_to_my_personal_tasks","gemma3-4b","Good","todo","dom1_pl_todo","Add history homework to my personal tasks","Okay, I've added “History homework” to your Personal Tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'History homework', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo-add_history_homework_to_my_tasks","gemma3-4b","Bad","todo","dom1_pl_todo","Add history homework to my tasks","Okay, I’ve added “History Homework” to your tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'History Homework'}}","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_apples_on_the_list","gemma3-4b","Bad","todo","dom1_pl_todo","put apples on the list","I understand you want to add “apples” to a list. However, I don't currently have a list to add items to. Could you tell me what list you'd like to add apples to?","","{'todo.trader_joe_s': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_apples_on_the_shopping_list","gemma3-4b","Bad","todo","dom1_pl_todo","put apples on the shopping list","Okay, I’ve added “apples” to your shopping list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Shopping List'}}","{'todo.trader_joe_s': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_apples_on_the_trader_joes_list","gemma3-4b","Good","todo","dom1_pl_todo","put apples on the trader joes list","Okay, I've added 'apples' to the Trader Joe's todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe's'}}","{}"
"dom1_pl_todo-put_clean_the_kitchen_on_personal_tasks_list","gemma3-4b","Good","todo","dom1_pl_todo","Put clean the kitchen on personal tasks list","Okay, I've added “clean the kitchen” to your Personal Tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo-put_history_homework_on_my_task_list","gemma3-4b","Bad","todo","dom1_pl_todo","Put history homework on my task list","Okay, I’ve added “history homework” to your task list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'History Homework'}}","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_history_homework_on_personal_tasks_list","gemma3-4b","Good","todo","dom1_pl_todo","Put history homework on personal tasks list","Okay, I’ve added “History homework” to your Personal Tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'History homework', 'name': 'Personal Tasks'}}","{}"
