task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights-kitchen_light_off-0","muse-glimmer","light","Kitchen light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Kitchen Light'}}","The Kitchen Light is now off.\n","eval-test_expected_states","Good",""
"dom1_pl_lights-kitchen_light_off-1","muse-glimmer","light","Kitchen light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Kitchen Light'}}","The Kitchen Light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights-kitchen_light_off-2","muse-glimmer","light","Kitchen light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Kitchen Light'}}","Kitchen light is off.","eval-test_expected_states","Good",""
"dom1_pl_lights-kitchen_light_off-3","muse-glimmer","light","Kitchen light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Kitchen Light'}}","Kitchen light turned off.\n","eval-test_expected_states","Good",""
"dom1_pl_lights-kitchen_light_off-4","muse-glimmer","light","Kitchen light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Kitchen Light'}}","The Kitchen Light is now off.\n","eval-test_expected_states","Good",""
"dom1_pl_lights-please_turn_off_the_light-0","muse-glimmer","light","Please turn off the light","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'area': 'Living Room', 'domain': ['light']}}","The Living Room Light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights-please_turn_off_the_light-1","muse-glimmer","light","Please turn off the light","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'area': 'Living Room', 'domain': ['light']}}","The Living Room Light has been turned off.","eval-test_expected_states","Good",""
"dom1_pl_lights-please_turn_off_the_light-2","muse-glimmer","light","Please turn off the light","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'area': 'Living Room', 'domain': ['light']}}","The Living Room Light is off.\n","eval-test_expected_states","Good",""
"dom1_pl_lights-please_turn_off_the_light-3","muse-glimmer","light","Please turn off the light","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Living Room Light', 'area': 'Living Room'}}","The Living Room Light is now off.","eval-test_expected_states","Good",""
"dom1_pl_lights-please_turn_off_the_light-4","muse-glimmer","light","Please turn off the light","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'area': 'Living Room', 'domain': ['light']}}","The Living Room Light has been turned off.\n","eval-test_expected_states","Good",""
